latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
70.69333,23.60109,311.6,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,273.9,1.2,N
70.69028,23.59673,344.2,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,271.6,3.9,N
64.66486,21.28036,297.6,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,271.7,1.1,N
59.52782,34.14619,302.3,0.4,0.6,2017-04-22,0124,N,nominal,1.0NRT,273.7,0.8,N
61.15654,14.76013,297.8,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,270.1,0.4,N
60.13253,16.17772,305.8,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,260.6,0.8,N
60.13136,16.18445,301.1,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,262.9,0.8,N
58.68388,17.1365,317.2,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,271.4,2.6,N
58.67286,17.13642,326.8,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,271.9,2.1,N
58.38462,13.82949,301.5,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,273,1.1,N
59.35987,1.56837,311.6,0.5,0.5,2017-04-22,0124,N,nominal,1.0NRT,274.6,2.8,N
58.09392,12.95938,300.4,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,270,0.7,N
58.27719,6.88788,329.8,0.5,0.4,2017-04-22,0124,N,nominal,1.0NRT,275.6,5.7,N
58.2763,6.89622,296.9,0.5,0.4,2017-04-22,0124,N,nominal,1.0NRT,272.8,2.5,N
57.97584,1.23549,298.9,0.5,0.5,2017-04-22,0124,N,nominal,1.0NRT,278,1.2,N
57.06269,9.97846,319.5,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,278.9,1.6,N
57.05938,9.97693,317.7,0.4,0.4,2017-04-22,0124,N,nominal,1.0NRT,278.8,2.3,N
56.99826,1.29383,317.5,0.5,0.5,2017-04-22,0124,N,nominal,1.0NRT,279.3,1.4,N
56.1855,2.78314,295.5,0.4,0.5,2017-04-22,0124,N,nominal,1.0NRT,277.3,0.5,N
53.51307,10.03437,296.3,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,276.3,1,N
53.51219,10.04008,309,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,279.2,0.9,N
53.50982,10.03296,298.5,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,275.3,1,N
53.50894,10.03868,305.8,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,276.1,0.9,N
53.52252,9.90428,313.8,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,278.7,1.5,N
53.51926,9.90288,303.7,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,274.7,0.9,N
53.13892,8.67984,304.4,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,278.5,1.4,N
53.13396,8.69014,337.6,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,279.4,4.1,N
53.13232,8.67722,328.3,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,280,2.7,N
53.1315,8.68303,310.1,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,278.1,2.7,N
53.12407,8.68621,306.8,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,278.7,1.3,N
53.12159,8.70361,295.3,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,277.5,1.2,N
52.39888,12.49635,308,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,279.1,1,N
52.31704,10.23857,296.4,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,277.6,0.7,N
52.35247,9.89194,299.8,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,278.2,0.4,N
53.3378,-1.75506,295.8,0.6,0.5,2017-04-22,0130,N,nominal,1.0NRT,277.4,1.3,N
53.33857,-1.75379,299.3,0.6,0.5,2017-04-22,0130,N,nominal,1.0NRT,278,1.7,N
51.8198,-9.68593,298.1,0.6,0.7,2017-04-22,0130,N,nominal,1.0NRT,277.2,1.5,N
45.12151,25.41579,305.1,0.6,0.7,2017-04-22,0130,N,nominal,1.0NRT,271.3,1.8,N
45.12236,25.41933,306.8,0.6,0.7,2017-04-22,0130,N,nominal,1.0NRT,271.2,1.4,N
48.77752,10.70064,316.7,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,278,2,N
48.6517,10.16348,295,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,274.2,0.6,N
48.36764,9.73591,319.3,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,275.5,1.9,N
48.3331,9.73365,296.4,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,274.2,0.7,N
49.4756,0.53238,305,0.4,0.5,2017-04-22,0130,N,nominal,1.0NRT,279.9,1.1,N
48.5996,7.82172,321.5,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,281.6,2,N
48.59634,7.82058,313,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,279.7,2,N
48.68925,6.96591,301.8,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,277,1,N
49.27068,-0.86697,305.1,0.5,0.5,2017-04-22,0130,N,nominal,1.0NRT,274.1,1.7,N
44.55055,22.52141,306,0.5,0.7,2017-04-22,0130,N,nominal,1.0NRT,273.6,1.2,N
44.1067,23.70977,300.4,0.6,0.7,2017-04-22,0130,N,nominal,1.0NRT,271.8,1.7,N
47.8084,7.52901,311.9,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,279.6,1,N
45.11486,19.95778,305,0.4,0.6,2017-04-22,0130,N,nominal,1.0NRT,271.1,0.6,N
44.59479,20.97399,296.8,0.4,0.6,2017-04-22,0130,N,nominal,1.0NRT,273.2,0.5,N
46.31721,13.04458,296.4,0.5,0.4,2017-04-22,0130,N,nominal,1.0NRT,270,1,N
46.22736,13.07602,300.5,0.5,0.4,2017-04-22,0130,N,nominal,1.0NRT,273.3,1.3,N
47.07008,8.26941,326.4,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,276.1,1.6,N
47.0709,8.26439,301.3,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,273.5,1.6,N
47.17607,7.56143,316.5,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,275.1,1.6,N
47.06437,8.26212,296,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,275.2,0.9,N
47.17281,7.56033,326.1,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,274.9,1.8,N
47.17202,7.56534,298.9,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,274.7,1.8,N
47.0611,8.26098,304.9,0.4,0.4,2017-04-22,0130,N,nominal,1.0NRT,274.8,0.6,N
